date,site,rgb,multispec,psx_file,multispectral_ortho,multispectral_report,rgb_ortho,rgb_report,crs,gimbal,sensor1,sensor2,side_overlap,front_overlap,sunsens,weather
20240813,Brüttelen_sanasilva50845,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240813\Brüttelen_sanasilva50845_20240813_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240813\Brüttelen_sanasilva50845_20240813_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240813\Brüttelen_sanasilva50845_20240813_metashape.psx,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240813\Brüttelen_sanasilva50845_20240813_metashape_multispec_ortho_05.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240813\Brüttelen_sanasilva50845_20240813_metashape_multispec_report.pdf,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240813\Brüttelen_sanasilva50845_20240813_metashape_rgb_ortho_01.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240813\Brüttelen_sanasilva50845_20240813_metashape_rgb_report.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240906,Brüttelen_sanasilva50845,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240906\Brüttelen_sanasilva50845_20240906_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240906\Brüttelen_sanasilva50845_20240906_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240906\Brüttelen_sanasilva50845_20240906_metashape.psx,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240906\Brüttelen_sanasilva50845_20240906_metashape_multispec_ortho_05.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240906\Brüttelen_sanasilva50845_20240906_metashape_multispec_report.pdf,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240906\Brüttelen_sanasilva50845_20240906_metashape_rgb_ortho_01.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Brüttelen_sanasilva50845\20240906\Brüttelen_sanasilva50845_20240906_metashape_rgb_report.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240815,Davos_LWF,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240815\Davos_LWF_20240815_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240815\Davos_LWF_20240815_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240815\Davos_LWF_20240815_metashape.psx,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240815\Davos_LWF_20240815_metashape_multispec_ortho_05.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240815\Davos_LWF_20240815_metashape_multispec_report.pdf,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240815\Davos_LWF_20240815_metashape_rgb_ortho_01.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240815\Davos_LWF_20240815_metashape_rgb_report.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240918,Davos_LWF,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240918\Davos_LWF_20240918_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240918\Davos_LWF_20240918_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240918\Davos_LWF_20240918_metashape.psx,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240918\Davos_LWF_20240918_metashape_multispec_ortho_05.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240918\Davos_LWF_20240918_metashape_multispec_report.pdf,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240918\Davos_LWF_20240918_metashape_rgb_ortho_01.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Davos_LWF\20240918\Davos_LWF_20240918_metashape_rgb_report.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240823,Illgraben,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240823\Illgraben_20240823_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240823\Illgraben_20240823_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240823\Illgraben_20240823_metashape.psx,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240823\Illgraben_20240823_metashape_multispec_ortho_05.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240823\Illgraben_20240823_metashape_multispec_report.pdf,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240823\Illgraben_20240823_metashape_rgb_ortho_01.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240823\Illgraben_20240823_metashape_rgb_report.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240925,Illgraben,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240925\Illgraben_20240925_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240925\Illgraben_20240925_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240925\Illgraben_20240925_metashape.psx,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240925\Illgraben_20240925_metashape_multispec_ortho_05.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240925\Illgraben_20240925_metashape_multispec_report.pdf,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240925\Illgraben_20240925_metashape_rgb_ortho_01.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Illgraben\20240925\Illgraben_20240925_metashape_rgb_report.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240821,Isone_LWF,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20240821\Isone_LWF_20240821_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20240821\Isone_LWF_20240821_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20240821\Isone_LWF_20240821_metashape.psx,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20240821\Isone_LWF_20240821_metashape_multispec_ortho_05.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20240821\Isone_LWF_20240821_metashape_multispec_report.pdf,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20240821\Isone_LWF_20240821_metashape_rgb_ortho_01.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20240821\Isone_LWF_20240821_metashape_rgb_report.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20241003,Isone_LWF,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20241003\Isone_LWF_20241003_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20241003\Isone_LWF_20241003_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20241003\Isone_LWF_20241003_metashape.psx,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20241003\Isone_LWF_20241003_metashape_multispec_ortho_05.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20241003\Isone_LWF_20241003_metashape_multispec_report.pdf,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20241003\Isone_LWF_20241003_metashape_rgb_ortho_01.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Isone_LWF\20241003\Isone_LWF_20241003_metashape_rgb_report.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240822,Lens-Forest,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Lens-Forest\20240822\Lens-Forest_20240822_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Lens-Forest\20240822\Lens-Forest_20240822_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Lens-Forest\20240822\Lens-Forest_20240822_metashape.psx,File not found,File not found,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Lens-Forest\20240822\Lens-Forest_20240822_metashape_rgb_ortho_01.tif,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Lens-Forest\20240822\Lens-Forest_20240822_metashape_rgb_report.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240924,Lens-Forest,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Lens-Forest\20240924\Lens-Forest_20240924_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Lens-Forest\20240924\Lens-Forest_20240924_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Lens-Forest\20240924\Lens-Forest_20240924_metashape.psx,File not found,File not found,File not found,File not found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240815,Martelloskop,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Martelloskop\20240815\Martelloskop_20240815_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Martelloskop\20240815\Martelloskop_20240815_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Martelloskop\20240815\Martelloskop_20240815_metashape.psx,File not found,File not found,File not found,File not found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240918,Martelloskop,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Martelloskop\20240918\Martelloskop_20240918_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Martelloskop\20240918\Martelloskop_20240918_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Martelloskop\20240918\Martelloskop_20240918_metashape.psx,File not found,File not found,File not found,File not found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240809,Neunkirch_LWF,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Neunkirch_LWF\20240809\Neunkirch_LWF_20240809_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Neunkirch_LWF\20240809\Neunkirch_LWF_20240809_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Neunkirch_LWF\20240809\Neunkirch_LWF_20240809_metashape.psx,File not found,File not found,File not found,File not found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240829,Neunkirch_LWF,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Neunkirch_LWF\20240829\Neunkirch_LWF_20240829_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Neunkirch_LWF\20240829\Neunkirch_LWF_20240829_metashape.files,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\metashape_proj\Neunkirch_LWF\20240829\Neunkirch_LWF_20240829_metashape.psx,File not found,File not found,File not found,File not found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
